,Route_ID,User_ID,Sequence,Total_Duration,Total_Cost,Weather,Traffic_Level,Crowd_Density,Event_Impact,Optimal_Route_Preference,Satisfaction_Score,Age,Gender,Nationality,Travel_Companions,Budget_Category,Preferred_Theme,Preferred_Transport
286,287,23,"['Uffizi Gallery', 'Terracotta Army', 'Rocky Mountains']",463,1856,Snowy,Medium,Medium,Festival,"['Uffizi Gallery', 'Terracotta Army', 'Rocky Mountains']",3,61,Other,USA,Family,Low,Relaxation,Taxi
287,288,161,"['Louvre Museum', 'Uffizi Gallery', 'Amber Fort', 'Red Fort', 'Santorini', 'Budapest Parliament', 'Iguazu Falls']",329,9547,Cloudy,High,Low,Festival,"['Louvre Museum', 'Uffizi Gallery', 'Amber Fort', 'Red Fort', 'Santorini', 'Budapest Parliament', 'Iguazu Falls']",3,25,Male,China,Solo,Medium,Shopping,Car
288,289,13,"['Louvre Museum', 'Sistine Chapel', ""St. Peter's Basilica"", 'Acropolis of Athens', 'Golden Gate Bridge', 'Leaning Tower of Pisa', 'Machu Picchu Citadel']",341,9961,Cloudy,Medium,High,,"['Louvre Museum', 'Sistine Chapel', ""St. Peter's Basilica"", 'Acropolis of Athens', 'Golden Gate Bridge', 'Leaning Tower of Pisa', 'Machu Picchu Citadel']",3,44,Female,France,Friends,High,Food,Bike
289,290,61,"['Louvre Museum', 'Forbidden City', 'Sydney Opera House', 'Great Barrier Reef', 'Iguazu Falls']",323,9766,Cloudy,Low,Low,,"['Louvre Museum', 'Forbidden City', 'Sydney Opera House', 'Great Barrier Reef', 'Iguazu Falls']",5,20,Male,France,Solo,Medium,Food,Taxi
290,291,17,"['Notre-Dame Cathedral', 'Statue of David', 'Pyramids of Giza', 'Kyoto Temples', 'Mount Fuji', 'Berlin Wall']",285,5826,Sunny,High,Medium,Festival,"['Notre-Dame Cathedral', 'Statue of David', 'Pyramids of Giza', 'Kyoto Temples', 'Mount Fuji', 'Berlin Wall']",2,57,Male,UK,Group,Medium,Shopping,Taxi
291,292,59,"['Great Wall of China', 'Great Barrier Reef', 'Kyoto Temples', 'Dubrovnik Old Town']",215,1665,Snowy,Low,Medium,,"['Great Wall of China', 'Great Barrier Reef', 'Kyoto Temples', 'Dubrovnik Old Town']",2,53,Male,France,Friends,Low,Shopping,Car
292,293,95,"['Rocky Mountains', 'Table Mountain', 'Kruger National Park', 'Santorini', 'Machu Picchu Citadel']",182,5020,Cloudy,High,Low,Festival,"['Rocky Mountains', 'Table Mountain', 'Kruger National Park', 'Santorini', 'Machu Picchu Citadel']",2,42,Male,Japan,Family,Medium,Food,Bike
293,294,27,"['Sistine Chapel', 'Taj Mahal', 'Leaning Tower of Pisa', 'Mount Fuji']",501,4502,Rainy,Low,High,,"['Sistine Chapel', 'Taj Mahal', 'Leaning Tower of Pisa', 'Mount Fuji']",5,60,Female,USA,Friends,Medium,Cultural,Bike
294,295,179,"['Taj Mahal', 'Acropolis of Athens', 'Golden Gate Bridge', 'Table Mountain', 'Prague Castle']",221,3873,Snowy,Low,High,Holiday,"['Taj Mahal', 'Acropolis of Athens', 'Golden Gate Bridge', 'Table Mountain', 'Prague Castle']",5,59,Male,Germany,Solo,Medium,Food,Bike
295,296,170,"['Louvre Museum', 'Colosseum', 'Times Square', 'Terracotta Army']",456,5119,Cloudy,Low,Low,Festival,"['Louvre Museum', 'Colosseum', 'Times Square', 'Terracotta Army']",1,31,Other,UK,Solo,Low,Adventure,Taxi
296,297,135,"['Great Wall of China', 'Louvre Museum', 'Temple of Karnak', 'Acropolis of Athens']",523,9520,Snowy,Low,High,Festival,"['Great Wall of China', 'Louvre Museum', 'Temple of Karnak', 'Acropolis of Athens']",1,68,Male,USA,Group,Medium,Shopping,Walk
297,298,22,"['Great Wall of China', 'Eiffel Tower', 'Banff National Park', 'Rocky Mountains', 'Table Mountain', 'Kruger National Park', 'Iguazu Falls']",181,2006,Sunny,Low,Medium,Holiday,"['Great Wall of China', 'Eiffel Tower', 'Banff National Park', 'Rocky Mountains', 'Table Mountain', 'Kruger National Park', 'Iguazu Falls']",5,65,Male,India,Friends,High,Adventure,Taxi
298,299,62,"['Great Wall of China', 'Eiffel Tower', 'Great Wall of China', 'Taj Mahal', 'Statue of Liberty', 'Kruger National Park']",348,4228,Sunny,High,High,Festival,"['Great Wall of China', 'Eiffel Tower', 'Great Wall of China', 'Taj Mahal', 'Statue of Liberty', 'Kruger National Park']",1,19,Other,China,Solo,Low,Food,Car
299,300,161,"['Eiffel Tower', 'Colosseum', 'Pyramid of the Sun', 'Golden Gate Bridge', 'Venice Canals']",190,796,Cloudy,High,Low,Holiday,"['Eiffel Tower', 'Colosseum', 'Pyramid of the Sun', 'Golden Gate Bridge', 'Venice Canals']",1,25,Male,China,Solo,Medium,Shopping,Car
300,301,143,"['Uffizi Gallery', 'Forbidden City', 'Victoria Falls']",300,9199,Cloudy,High,Low,,"['Uffizi Gallery', 'Forbidden City', 'Victoria Falls']",4,49,Male,France,Group,Medium,Nature,Car
301,302,59,"['Great Wall of China', 'Eiffel Tower', 'Uffizi Gallery', 'Sydney Opera House', 'Leaning Tower of Pisa', 'Berlin Wall']",320,4284,Sunny,High,Low,Festival,"['Great Wall of China', 'Eiffel Tower', 'Uffizi Gallery', 'Sydney Opera House', 'Leaning Tower of Pisa', 'Berlin Wall']",2,53,Male,France,Friends,Low,Shopping,Car
302,303,177,"['Notre-Dame Cathedral', 'Terracotta Army', 'Temple of Karnak', 'Acropolis of Athens', 'Florence Cathedral', 'Kyoto Temples']",391,1946,Rainy,Low,Low,Festival,"['Notre-Dame Cathedral', 'Terracotta Army', 'Temple of Karnak', 'Acropolis of Athens', 'Florence Cathedral', 'Kyoto Temples']",5,57,Other,USA,Group,Low,Nature,Walk
303,304,174,"['Eiffel Tower', 'Colosseum', 'Great Barrier Reef', 'Temple of Karnak', 'Mount Fuji', 'Budapest Parliament', 'Berlin Wall']",363,9799,Rainy,Medium,Medium,Festival,"['Eiffel Tower', 'Colosseum', 'Great Barrier Reef', 'Temple of Karnak', 'Mount Fuji', 'Budapest Parliament', 'Berlin Wall']",1,58,Other,China,Family,Low,Food,Bike
304,305,2,"['Notre-Dame Cathedral', 'Statue of David', 'Forbidden City', 'Christ the Redeemer', 'Sydney Opera House', 'Uluru', 'Table Mountain']",351,3621,Sunny,High,Medium,Festival,"['Notre-Dame Cathedral', 'Statue of David', 'Forbidden City', 'Christ the Redeemer', 'Sydney Opera House', 'Uluru', 'Table Mountain']",2,38,Male,USA,Friends,High,Relaxation,Bike
305,306,58,"['Statue of David', 'Forbidden City', 'Temple of Karnak', 'Florence Cathedral', 'Table Mountain', 'Kyoto Temples']",391,5462,Snowy,High,Medium,Holiday,"['Statue of David', 'Forbidden City', 'Temple of Karnak', 'Florence Cathedral', 'Table Mountain', 'Kyoto Temples']",3,60,Male,France,Solo,High,Relaxation,Bus
306,307,39,"['Great Wall of China', 'Colosseum', 'Statue of David', 'Pyramid of the Sun', 'Great Barrier Reef', 'Bora Bora', 'Santorini']",255,3274,Rainy,Low,Low,Holiday,"['Great Wall of China', 'Colosseum', 'Statue of David', 'Pyramid of the Sun', 'Great Barrier Reef', 'Bora Bora', 'Santorini']",5,51,Female,India,Group,Low,Nature,Car
307,308,80,"['Notre-Dame Cathedral', 'Sistine Chapel', 'Yellowstone National Park', 'Iguazu Falls', 'Dubrovnik Old Town']",511,987,Rainy,High,Medium,,"['Notre-Dame Cathedral', 'Sistine Chapel', 'Yellowstone National Park', 'Iguazu Falls', 'Dubrovnik Old Town']",3,67,Male,UK,Family,Medium,Food,Walk
308,309,114,"[""St. Peter's Basilica"", 'Times Square', 'Forbidden City', 'Christ the Redeemer', 'Florence Cathedral', 'Santorini', 'Victoria Falls']",446,3420,Snowy,Low,Medium,Festival,"[""St. Peter's Basilica"", 'Times Square', 'Forbidden City', 'Christ the Redeemer', 'Florence Cathedral', 'Santorini', 'Victoria Falls']",1,19,Female,China,Family,High,Cultural,Taxi
309,310,146,"['Roman Forum', 'Sagrada Familia', 'Statue of Liberty', 'Leaning Tower of Pisa', 'Budapest Parliament']",165,5472,Snowy,Low,Low,Festival,"['Roman Forum', 'Sagrada Familia', 'Statue of Liberty', 'Leaning Tower of Pisa', 'Budapest Parliament']",5,21,Female,USA,Solo,Medium,Food,Bus
310,311,197,"['Great Wall of China', 'Statue of Liberty', 'Prague Castle']",210,6762,Rainy,Medium,Low,Holiday,"['Great Wall of China', 'Statue of Liberty', 'Prague Castle']",1,23,Male,India,Group,High,Food,Walk
311,312,173,"['Colosseum', 'Roman Forum', 'Terracotta Army', 'Machu Picchu', 'Christ the Redeemer', 'Taj Mahal', 'Budapest Parliament']",554,8890,Cloudy,High,Low,Festival,"['Colosseum', 'Roman Forum', 'Terracotta Army', 'Machu Picchu', 'Christ the Redeemer', 'Taj Mahal', 'Budapest Parliament']",3,70,Male,China,Solo,Medium,Food,Bike
312,313,26,"['Colosseum', 'Pyramids of Giza', 'Amber Fort']",541,7897,Rainy,High,Medium,Holiday,"['Colosseum', 'Pyramids of Giza', 'Amber Fort']",4,57,Other,China,Family,High,Nature,Bus
313,314,82,"['Great Wall of China', 'Uffizi Gallery', 'Acropolis of Athens', 'Banff National Park', 'Iguazu Falls']",189,6543,Sunny,Low,Low,Festival,"['Great Wall of China', 'Uffizi Gallery', 'Acropolis of Athens', 'Banff National Park', 'Iguazu Falls']",5,38,Female,France,Friends,Low,Food,Bike
314,315,59,"['Louvre Museum', 'Pyramid of the Sun', 'Terracotta Army', 'Uluru', 'Florence Cathedral', 'Santorini', 'Yellowstone National Park']",536,1301,Rainy,High,Low,,"['Louvre Museum', 'Pyramid of the Sun', 'Terracotta Army', 'Uluru', 'Florence Cathedral', 'Santorini', 'Yellowstone National Park']",2,53,Male,France,Friends,Low,Shopping,Car
315,316,159,"['Pyramid of the Sun', 'Sydney Opera House', 'Acropolis of Athens', 'Berlin Wall']",257,5855,Cloudy,Medium,Low,Festival,"['Pyramid of the Sun', 'Sydney Opera House', 'Acropolis of Athens', 'Berlin Wall']",3,44,Female,UK,Group,Medium,Cultural,Bike
316,317,47,"['Great Wall of China', 'Kruger National Park', 'Grand Canyon', 'Dubrovnik Old Town']",472,6772,Rainy,Low,High,Holiday,"['Great Wall of China', 'Kruger National Park', 'Grand Canyon', 'Dubrovnik Old Town']",5,57,Female,Japan,Group,Medium,Food,Train
317,318,21,"['Sistine Chapel', 'Great Wall of China', 'Machu Picchu', 'Uluru', 'Golden Gate Bridge', 'Venice Canals']",133,6873,Rainy,High,Medium,,"['Sistine Chapel', 'Great Wall of China', 'Machu Picchu', 'Uluru', 'Golden Gate Bridge', 'Venice Canals']",5,32,Male,Japan,Friends,Low,Nature,Bus
318,319,65,"['Pyramid of the Sun', 'Acropolis of Athens', 'Berlin Wall']",160,5273,Snowy,Medium,Low,Holiday,"['Pyramid of the Sun', 'Acropolis of Athens', 'Berlin Wall']",1,40,Male,USA,Solo,Low,Relaxation,Taxi
319,320,75,"['Colosseum', 'Pyramids of Giza', 'Red Fort']",537,8376,Sunny,Low,Low,,"['Colosseum', 'Pyramids of Giza', 'Red Fort']",4,24,Male,USA,Group,High,Shopping,Taxi
320,321,156,"['Statue of David', 'Uffizi Gallery', 'Victoria Falls']",195,8915,Sunny,High,Low,,"['Statue of David', 'Uffizi Gallery', 'Victoria Falls']",3,34,Other,India,Group,Medium,Nature,Bus
321,322,197,"['Eiffel Tower', 'Central Park', 'Great Wall of China', 'Temple of Karnak', 'Santorini', 'Prague Castle']",294,4731,Sunny,Low,High,,"['Eiffel Tower', 'Central Park', 'Great Wall of China', 'Temple of Karnak', 'Santorini', 'Prague Castle']",3,23,Male,India,Group,High,Food,Walk
322,323,156,"['Louvre Museum', 'Terracotta Army', 'Christ the Redeemer']",251,1478,Snowy,High,Medium,Festival,"['Louvre Museum', 'Terracotta Army', 'Christ the Redeemer']",3,34,Other,India,Group,Medium,Nature,Bus
323,324,147,"['Great Barrier Reef', 'Pyramids of Giza', 'Amber Fort', 'Mount Fuji']",600,1865,Snowy,Medium,Medium,Festival,"['Great Barrier Reef', 'Pyramids of Giza', 'Amber Fort', 'Mount Fuji']",5,19,Other,Japan,Friends,High,Nature,Walk
324,325,69,"['Sistine Chapel', 'Colosseum', 'Uffizi Gallery', 'Pyramid of the Sun', 'Christ the Redeemer', 'Leaning Tower of Pisa']",418,6702,Snowy,Low,Medium,Holiday,"['Sistine Chapel', 'Colosseum', 'Uffizi Gallery', 'Pyramid of the Sun', 'Christ the Redeemer', 'Leaning Tower of Pisa']",1,56,Other,Japan,Family,Low,Nature,Car
325,326,135,"['Notre-Dame Cathedral', 'Leaning Tower of Pisa', 'Kruger National Park']",477,9793,Snowy,Low,Low,Festival,"['Notre-Dame Cathedral', 'Leaning Tower of Pisa', 'Kruger National Park']",1,68,Male,USA,Group,Medium,Shopping,Walk
326,327,156,"['Taj Mahal', 'Statue of Liberty', 'Venice Canals', 'Leaning Tower of Pisa']",298,1218,Cloudy,Medium,High,Festival,"['Taj Mahal', 'Statue of Liberty', 'Venice Canals', 'Leaning Tower of Pisa']",1,34,Other,India,Group,Medium,Nature,Bus
327,328,173,"['Sistine Chapel', 'Great Barrier Reef', 'Statue of Liberty', 'Golden Gate Bridge', 'Bora Bora', 'Prague Castle']",530,6718,Snowy,Low,Low,Festival,"['Sistine Chapel', 'Great Barrier Reef', 'Statue of Liberty', 'Golden Gate Bridge', 'Bora Bora', 'Prague Castle']",2,70,Male,China,Solo,Medium,Food,Bike
328,329,1,"['Great Wall of China', 'Machu Picchu', 'Christ the Redeemer', 'Taj Mahal', 'Grand Canyon']",368,9511,Rainy,Low,Medium,,"['Great Wall of China', 'Machu Picchu', 'Christ the Redeemer', 'Taj Mahal', 'Grand Canyon']",5,44,Other,China,Group,Medium,Adventure,Taxi
329,330,81,"['Christ the Redeemer', 'Florence Cathedral', 'Table Mountain']",251,6100,Rainy,High,High,Festival,"['Christ the Redeemer', 'Florence Cathedral', 'Table Mountain']",5,64,Female,France,Group,High,Adventure,Train
330,331,37,"['Taj Mahal', 'Golden Gate Bridge', 'Banff National Park']",219,1787,Cloudy,Low,High,Festival,"['Taj Mahal', 'Golden Gate Bridge', 'Banff National Park']",4,47,Male,Japan,Family,Low,Shopping,Walk
331,332,114,"['Colosseum', 'Christ the Redeemer', 'Statue of Liberty', 'Rocky Mountains', 'Kruger National Park']",393,661,Rainy,Low,Low,Festival,"['Colosseum', 'Christ the Redeemer', 'Statue of Liberty', 'Rocky Mountains', 'Kruger National Park']",5,19,Female,China,Family,High,Cultural,Taxi
332,333,91,"['Machu Picchu', 'Kruger National Park', 'Yellowstone National Park']",545,2614,Rainy,Medium,Medium,Festival,"['Machu Picchu', 'Kruger National Park', 'Yellowstone National Park']",4,40,Female,India,Family,Low,Food,Bike
333,334,16,"[""St. Peter's Basilica"", 'Great Wall of China', 'Sagrada Familia', 'Florence Cathedral', 'Prague Castle', 'Grand Canyon']",461,2260,Sunny,Low,Low,Festival,"[""St. Peter's Basilica"", 'Great Wall of China', 'Sagrada Familia', 'Florence Cathedral', 'Prague Castle', 'Grand Canyon']",5,32,Male,USA,Friends,Low,Relaxation,Walk
334,335,57,"['Uffizi Gallery', 'Pyramid of the Sun', 'Statue of Liberty', 'Leaning Tower of Pisa', 'Bora Bora', 'Grand Canyon', 'Dubrovnik Old Town']",531,9653,Rainy,Low,High,Festival,"['Uffizi Gallery', 'Pyramid of the Sun', 'Statue of Liberty', 'Leaning Tower of Pisa', 'Bora Bora', 'Grand Canyon', 'Dubrovnik Old Town']",1,46,Male,Japan,Family,Low,Nature,Bike
335,336,14,"['Times Square', 'Amber Fort', 'Golden Gate Bridge', 'Florence Cathedral', 'Mount Fuji']",224,7893,Snowy,Medium,Medium,Holiday,"['Times Square', 'Amber Fort', 'Golden Gate Bridge', 'Florence Cathedral', 'Mount Fuji']",3,35,Other,Japan,Group,Low,Shopping,Taxi
336,337,68,"[""St. Peter's Basilica"", 'Machu Picchu', 'Temple of Karnak', 'Statue of Liberty', 'Mount Fuji', 'Yellowstone National Park']",180,9038,Rainy,Medium,Medium,,"[""St. Peter's Basilica"", 'Machu Picchu', 'Temple of Karnak', 'Statue of Liberty', 'Mount Fuji', 'Yellowstone National Park']",5,70,Other,France,Friends,Medium,Nature,Car
337,338,26,"['Pyramid of the Sun', 'Sydney Opera House', 'Rocky Mountains', 'Prague Castle']",358,4238,Rainy,Medium,Low,,"['Pyramid of the Sun', 'Sydney Opera House', 'Rocky Mountains', 'Prague Castle']",4,57,Other,China,Family,High,Nature,Bus
338,339,198,"['Colosseum', 'Roman Forum', 'Acropolis of Athens', 'Victoria Falls']",392,5551,Rainy,Medium,Medium,,"['Colosseum', 'Roman Forum', 'Acropolis of Athens', 'Victoria Falls']",5,39,Female,Japan,Friends,High,Relaxation,Taxi
339,340,128,"['Louvre Museum', 'Terracotta Army', 'Pyramids of Giza', 'Amber Fort', 'Acropolis of Athens', 'Table Mountain', 'Machu Picchu Citadel']",219,2185,Snowy,Medium,Low,Festival,"['Louvre Museum', 'Terracotta Army', 'Pyramids of Giza', 'Amber Fort', 'Acropolis of Athens', 'Table Mountain', 'Machu Picchu Citadel']",2,66,Male,UK,Family,Medium,Nature,Train
340,341,126,"['Times Square', 'Forbidden City', 'Acropolis of Athens', 'Florence Cathedral', 'Mount Fuji', 'Bora Bora']",541,3052,Sunny,Medium,Low,Holiday,"['Times Square', 'Forbidden City', 'Acropolis of Athens', 'Florence Cathedral', 'Mount Fuji', 'Bora Bora']",5,32,Male,Germany,Friends,Medium,Nature,Taxi
341,342,49,"['Great Wall of China', 'Notre-Dame Cathedral', 'Colosseum', 'Christ the Redeemer', 'Pyramids of Giza', 'Leaning Tower of Pisa', 'Victoria Falls']",321,6546,Cloudy,Low,Low,,"['Great Wall of China', 'Notre-Dame Cathedral', 'Colosseum', 'Christ the Redeemer', 'Pyramids of Giza', 'Leaning Tower of Pisa', 'Victoria Falls']",2,51,Female,China,Friends,High,Cultural,Bus
342,343,49,"['Sistine Chapel', 'Temple of Karnak', 'Sagrada Familia', 'Kyoto Temples', 'Grand Canyon']",387,837,Sunny,High,Medium,Festival,"['Sistine Chapel', 'Temple of Karnak', 'Sagrada Familia', 'Kyoto Temples', 'Grand Canyon']",1,51,Female,China,Friends,High,Cultural,Bus
343,344,33,"['Louvre Museum', 'Notre-Dame Cathedral', 'Times Square', 'Statue of David', 'Sydney Opera House', 'Florence Cathedral', 'Mount Fuji']",594,6822,Snowy,Low,Medium,Holiday,"['Louvre Museum', 'Notre-Dame Cathedral', 'Times Square', 'Statue of David', 'Sydney Opera House', 'Florence Cathedral', 'Mount Fuji']",3,26,Male,USA,Friends,High,Food,Walk
344,345,182,"['Forbidden City', 'Christ the Redeemer', 'Taj Mahal', 'Grand Canyon']",298,4969,Snowy,Medium,High,,"['Forbidden City', 'Christ the Redeemer', 'Taj Mahal', 'Grand Canyon']",5,69,Female,China,Family,Medium,Food,Train
345,346,61,"[""St. Peter's Basilica"", 'Times Square', 'Temple of Karnak', 'Sagrada Familia', 'Kyoto Temples', 'Machu Picchu Citadel']",357,709,Sunny,Low,Medium,,"[""St. Peter's Basilica"", 'Times Square', 'Temple of Karnak', 'Sagrada Familia', 'Kyoto Temples', 'Machu Picchu Citadel']",3,20,Male,France,Solo,Medium,Food,Taxi
346,347,71,"['Uluru', 'Leaning Tower of Pisa', 'Victoria Falls']",405,3239,Rainy,Medium,Low,Holiday,"['Uluru', 'Leaning Tower of Pisa', 'Victoria Falls']",3,41,Female,France,Family,High,Relaxation,Bus
347,348,176,"['Louvre Museum', 'Sistine Chapel', 'Pyramid of the Sun', 'Christ the Redeemer', 'Florence Cathedral', 'Santorini', 'Berlin Wall']",491,2147,Cloudy,Low,High,Holiday,"['Louvre Museum', 'Sistine Chapel', 'Pyramid of the Sun', 'Christ the Redeemer', 'Florence Cathedral', 'Santorini', 'Berlin Wall']",5,31,Other,China,Group,High,Relaxation,Taxi
348,349,27,"['Eiffel Tower', ""St. Peter's Basilica"", 'Central Park', 'Terracotta Army', 'Sagrada Familia', 'Banff National Park', 'Iguazu Falls']",195,1550,Cloudy,Medium,Low,Festival,"['Eiffel Tower', ""St. Peter's Basilica"", 'Central Park', 'Terracotta Army', 'Sagrada Familia', 'Banff National Park', 'Iguazu Falls']",2,60,Female,USA,Friends,Medium,Cultural,Bike
349,350,9,"['Great Wall of China', 'Temple of Karnak', 'Florence Cathedral', 'Machu Picchu Citadel']",212,9360,Sunny,Low,Low,Holiday,"['Great Wall of China', 'Temple of Karnak', 'Florence Cathedral', 'Machu Picchu Citadel']",2,53,Female,Japan,Family,High,Shopping,Car
350,351,183,"['Terracotta Army', 'Golden Gate Bridge', 'Rocky Mountains', 'Table Mountain', 'Budapest Parliament', 'Iguazu Falls']",351,9442,Cloudy,Low,Low,,"['Terracotta Army', 'Golden Gate Bridge', 'Rocky Mountains', 'Table Mountain', 'Budapest Parliament', 'Iguazu Falls']",5,59,Female,Germany,Solo,Low,Nature,Train
351,352,172,"['Notre-Dame Cathedral', 'Great Wall of China', 'Budapest Parliament', 'Yellowstone National Park']",418,1829,Snowy,Low,Low,,"['Notre-Dame Cathedral', 'Great Wall of China', 'Budapest Parliament', 'Yellowstone National Park']",5,54,Other,China,Group,Low,Relaxation,Bike
352,353,170,"['Uluru', 'Rocky Mountains', 'Prague Castle', 'Iguazu Falls']",303,9038,Rainy,Medium,Low,Festival,"['Uluru', 'Rocky Mountains', 'Prague Castle', 'Iguazu Falls']",5,31,Other,UK,Solo,Low,Adventure,Taxi
353,354,51,"['Statue of Liberty', 'Table Mountain', 'Dubrovnik Old Town']",339,8309,Rainy,Low,Medium,Holiday,"['Statue of Liberty', 'Table Mountain', 'Dubrovnik Old Town']",1,38,Female,China,Solo,Medium,Adventure,Taxi
354,355,21,"['Sydney Opera House', 'Taj Mahal', 'Florence Cathedral', 'Rocky Mountains']",496,7378,Rainy,Low,Medium,Holiday,"['Sydney Opera House', 'Taj Mahal', 'Florence Cathedral', 'Rocky Mountains']",5,32,Male,Japan,Friends,Low,Nature,Bus
355,356,125,"['Sistine Chapel', 'Pyramid of the Sun', 'Venice Canals']",281,7160,Snowy,Medium,Low,Festival,"['Sistine Chapel', 'Pyramid of the Sun', 'Venice Canals']",2,31,Male,Germany,Solo,Low,Cultural,Train
356,357,147,"['Sistine Chapel', 'Times Square', 'Sydney Opera House', 'Acropolis of Athens', 'Statue of Liberty', 'Golden Gate Bridge', 'Prague Castle']",385,5630,Snowy,Medium,Medium,,"['Sistine Chapel', 'Times Square', 'Sydney Opera House', 'Acropolis of Athens', 'Statue of Liberty', 'Golden Gate Bridge', 'Prague Castle']",2,19,Other,Japan,Friends,High,Nature,Walk
357,358,47,"['Florence Cathedral', 'Rocky Mountains', 'Dubrovnik Old Town']",171,4712,Sunny,High,Low,,"['Florence Cathedral', 'Rocky Mountains', 'Dubrovnik Old Town']",3,57,Female,Japan,Group,Medium,Food,Train
358,359,166,"['Louvre Museum', 'Colosseum', 'Christ the Redeemer']",557,539,Rainy,Low,Low,,"['Louvre Museum', 'Colosseum', 'Christ the Redeemer']",2,44,Male,Germany,Solo,Medium,Relaxation,Train
359,360,140,"['Colosseum', 'Times Square', 'Temple of Karnak', 'Statue of Liberty', 'Golden Gate Bridge', 'Machu Picchu Citadel', 'Iguazu Falls']",178,9553,Cloudy,Medium,Medium,,"['Colosseum', 'Times Square', 'Temple of Karnak', 'Statue of Liberty', 'Golden Gate Bridge', 'Machu Picchu Citadel', 'Iguazu Falls']",5,54,Other,China,Solo,High,Food,Bike
360,361,117,"['Louvre Museum', 'Terracotta Army', 'Uluru', 'Statue of Liberty', 'Machu Picchu Citadel', 'Berlin Wall']",248,8019,Sunny,Medium,Medium,,"['Louvre Museum', 'Terracotta Army', 'Uluru', 'Statue of Liberty', 'Machu Picchu Citadel', 'Berlin Wall']",4,26,Female,USA,Friends,Low,Food,Walk
361,362,184,"['Colosseum', 'Central Park', 'Forbidden City', 'Mount Fuji', 'Santorini']",380,3515,Cloudy,High,Medium,Holiday,"['Colosseum', 'Central Park', 'Forbidden City', 'Mount Fuji', 'Santorini']",3,69,Male,Germany,Family,Low,Relaxation,Bike
362,363,109,"['Great Wall of China', 'Sistine Chapel', 'Amber Fort', 'Red Fort', 'Venice Canals', 'Florence Cathedral', 'Mount Fuji']",596,6804,Snowy,High,Low,,"['Great Wall of China', 'Sistine Chapel', 'Amber Fort', 'Red Fort', 'Venice Canals', 'Florence Cathedral', 'Mount Fuji']",5,40,Male,USA,Family,Low,Food,Car
363,364,104,"['Forbidden City', 'Sagrada Familia', 'Florence Cathedral', 'Leaning Tower of Pisa', 'Budapest Parliament', 'Dubrovnik Old Town']",488,1304,Sunny,Low,High,Festival,"['Forbidden City', 'Sagrada Familia', 'Florence Cathedral', 'Leaning Tower of Pisa', 'Budapest Parliament', 'Dubrovnik Old Town']",4,51,Male,India,Group,Medium,Shopping,Bus
364,365,12,"['Great Wall of China', 'Amber Fort', 'Golden Gate Bridge', 'Kyoto Temples']",130,4291,Rainy,Low,High,Holiday,"['Great Wall of China', 'Amber Fort', 'Golden Gate Bridge', 'Kyoto Temples']",4,47,Female,UK,Solo,High,Cultural,Train
365,366,196,"['Leaning Tower of Pisa', 'Banff National Park', 'Prague Castle', 'Dubrovnik Old Town']",511,3896,Cloudy,High,Low,Festival,"['Leaning Tower of Pisa', 'Banff National Park', 'Prague Castle', 'Dubrovnik Old Town']",3,32,Other,USA,Group,Low,Nature,Car
366,367,148,"['Eiffel Tower', 'Temple of Karnak', 'Grand Canyon', 'Victoria Falls']",358,4646,Snowy,High,High,Festival,"['Eiffel Tower', 'Temple of Karnak', 'Grand Canyon', 'Victoria Falls']",1,51,Male,India,Solo,Low,Cultural,Walk
367,368,129,"['Colosseum', 'Central Park', 'Yellowstone National Park', 'Dubrovnik Old Town']",331,516,Cloudy,Medium,Medium,Festival,"['Colosseum', 'Central Park', 'Yellowstone National Park', 'Dubrovnik Old Town']",2,56,Other,Germany,Family,High,Food,Car
368,369,200,"['Eiffel Tower', 'Roman Forum', 'Terracotta Army', 'Christ the Redeemer', 'Sydney Opera House', 'Rocky Mountains', 'Bora Bora']",373,9312,Rainy,Medium,Low,Festival,"['Eiffel Tower', 'Roman Forum', 'Terracotta Army', 'Christ the Redeemer', 'Sydney Opera House', 'Rocky Mountains', 'Bora Bora']",1,23,Female,India,Group,High,Food,Bus
369,370,33,"['Times Square', 'Great Wall of China', 'Statue of Liberty', 'Banff National Park', 'Rocky Mountains', 'Bora Bora']",408,6718,Sunny,High,Low,Holiday,"['Times Square', 'Great Wall of China', 'Statue of Liberty', 'Banff National Park', 'Rocky Mountains', 'Bora Bora']",1,26,Male,USA,Friends,High,Food,Walk
370,371,133,"['Great Wall of China', 'Uffizi Gallery', 'Grand Canyon']",574,6928,Rainy,High,Low,Festival,"['Great Wall of China', 'Uffizi Gallery', 'Grand Canyon']",2,69,Male,USA,Group,Medium,Shopping,Train
371,372,94,"['Great Wall of China', 'Terracotta Army', 'Mount Fuji']",134,4105,Sunny,Medium,High,,"['Great Wall of China', 'Terracotta Army', 'Mount Fuji']",1,55,Male,Japan,Group,Medium,Food,Car
372,373,119,"['Colosseum', 'Sagrada Familia', 'Rocky Mountains', 'Kruger National Park', 'Mount Fuji', 'Machu Picchu Citadel', 'Victoria Falls']",166,9000,Rainy,Low,Medium,,"['Colosseum', 'Sagrada Familia', 'Rocky Mountains', 'Kruger National Park', 'Mount Fuji', 'Machu Picchu Citadel', 'Victoria Falls']",2,30,Other,India,Solo,Medium,Cultural,Bike
